
================================================================================
🗄️  Ad-hoc query on C:\git\home\user\jeremy.gerdes\github\PrizmForge-Soak\Soak8-target\PrizmForge\.PrizmForge\agents.db
================================================================================

agent_name         n   parse_ok
-----------------  --  --------
developer          54  50      
jr_reviewer        20  20      
prioritizer        9   9       
orchestrator       3   3       
reviewer           2   2       
security_reviewer  2   2       
project_reporter   1   1       

7 row(s)
