
================================================================================
🚨 Errors [HIGH] — 16 rows
================================================================================

id  level  message                                                       context                                                                                                                                                                                                                             file_path                    function_name                     task_id   agent_name    timestamp          
--  -----  ------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------------------------  --------------------------------  --------  ------------  -------------------
22  HIGH   orchestrator failed to return a response (API/Network error)  {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 20400, "model": "gemini-3.1-pro-preview", "agent_name": "orchestrator"}, "proposal_id": null, "line_guid": null, "agent_name": "orchestrator"}  None                         agents.base.call_agent            task_002  orchestrator  2026-09-08 04:25:03
21  HIGH   jr_reviewer failed JSON validation after 3 attempts           {"component": "parallel_workers", "category": "json_validation", "details": null, "proposal_id": null, "line_guid": null, "agent_name": null}                                                                                       workflow/reviewer_gate.py    parallel_workers.json_validation  task_002  None          2026-09-08 04:22:22
20  HIGH   jr_reviewer failed to return a response (API/Network error)   {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 15918, "model": "gemini-3.7-flash", "agent_name": "jr_reviewer"}, "proposal_id": null, "line_guid": null, "agent_name": "jr_reviewer"}          None                         agents.base.call_agent            task_002  jr_reviewer   2026-09-08 04:22:02
19  HIGH   orchestrator failed to return a response (API/Network error)  {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 20400, "model": "gemini-3.1-pro-preview", "agent_name": "orchestrator"}, "proposal_id": null, "line_guid": null, "agent_name": "orchestrator"}  None                         agents.base.call_agent            task_002  orchestrator  2026-09-08 04:19:59
18  HIGH   orchestrator failed to return a response (API/Network error)  {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 20400, "model": "gemini-3.1-pro-preview", "agent_name": "orchestrator"}, "proposal_id": null, "line_guid": null, "agent_name": "orchestrator"}  None                         agents.base.call_agent            task_002  orchestrator  2026-09-08 04:17:57
17  HIGH   jr_reviewer failed JSON validation after 3 attempts           {"component": "parallel_workers", "category": "json_validation", "details": null, "proposal_id": null, "line_guid": null, "agent_name": null}                                                                                       workflow/shell_developer.py  parallel_workers.json_validation  task_002  None          2026-09-08 04:16:42
16  HIGH   jr_reviewer failed to return a response (API/Network error)   {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 197879, "model": "gemini-3.7-flash", "agent_name": "jr_reviewer"}, "proposal_id": null, "line_guid": null, "agent_name": "jr_reviewer"}         None                         agents.base.call_agent            task_002  jr_reviewer   2026-09-08 04:16:22
15  HIGH   developer failed to return a response (API/Network error)     {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 36685, "model": "gemini-3.1-pro-preview", "agent_name": "developer"}, "proposal_id": null, "line_guid": null, "agent_name": "developer"}        None                         agents.base.call_agent            task_002  developer     2026-09-08 04:15:57
13  HIGH   developer failed to return a response (API/Network error)     {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 35740, "model": "gemini-3.1-pro-preview", "agent_name": "developer"}, "proposal_id": null, "line_guid": null, "agent_name": "developer"}        None                         agents.base.call_agent            task_002  developer     2026-09-08 04:13:57
14  HIGH   developer failed to return a response (API/Network error)     {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 36663, "model": "gemini-3.1-pro-preview", "agent_name": "developer"}, "proposal_id": null, "line_guid": null, "agent_name": "developer"}        None                         agents.base.call_agent            task_002  developer     2026-09-08 04:13:57
11  HIGH   orchestrator failed to return a response (API/Network error)  {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 22101, "model": "gemini-3.1-pro-preview", "agent_name": "orchestrator"}, "proposal_id": null, "line_guid": null, "agent_name": "orchestrator"}  None                         agents.base.call_agent            task_001  orchestrator  2026-09-08 03:56:25
10  HIGH   orchestrator failed to return a response (API/Network error)  {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 22101, "model": "gemini-3.1-pro-preview", "agent_name": "orchestrator"}, "proposal_id": null, "line_guid": null, "agent_name": "orchestrator"}  None                         agents.base.call_agent            task_001  orchestrator  2026-09-08 03:54:58
9   HIGH   orchestrator failed to return a response (API/Network error)  {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 22101, "model": "gemini-3.1-pro-preview", "agent_name": "orchestrator"}, "proposal_id": null, "line_guid": null, "agent_name": "orchestrator"}  None                         agents.base.call_agent            task_001  orchestrator  2026-09-08 03:52:56
8   HIGH   reviewer failed to return a response (API/Network error)      {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 2087, "model": "gemini-3.1-pro-preview", "agent_name": "reviewer"}, "proposal_id": null, "line_guid": null, "agent_name": "reviewer"}           None                         agents.base.call_agent            task_001  reviewer      2026-09-08 03:50:56
6   HIGH   reviewer failed to return a response (API/Network error)      {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 1485, "model": "gemini-3.1-pro-preview", "agent_name": "reviewer"}, "proposal_id": null, "line_guid": null, "agent_name": "reviewer"}           None                         agents.base.call_agent            task_001  reviewer      2026-09-08 03:21:16
4   HIGH   reviewer failed to return a response (API/Network error)      {"component": "agents.base", "category": "call_agent", "details": {"prompt_length": 2078, "model": "gemini-3.1-pro-preview", "agent_name": "reviewer"}, "proposal_id": null, "line_guid": null, "agent_name": "reviewer"}           None                         agents.base.call_agent            task_001  reviewer      2026-09-08 02:57:03
